date,soil_moisture_percent,air_temperature_celsius
2018/7/5 08:34,15.63,23.6
2018/7/5 08:49,15.25,24.02
2018/7/5 09:04,15.12,24.11
2018/7/5 09:19,15.5,24.98
2018/7/5 09:34,15.38,26.78
2018/7/5 09:49,14.99,29.04
2018/7/5 10:04,14.99,35.45
2018/7/5 10:19,14.49,42.82
2018/7/5 10:34,14.23,45.44
2018/7/5 10:49,14.5,46.41
2018/7/5 11:04,13.85,41.51
2018/7/5 11:19,14.11,48.09
2018/7/5 11:34,13.6,49.47
2018/7/5 11:49,13.47,48.49
2018/7/5 12:04,13.6,41.46
2018/7/5 12:19,13.34,46.47
2018/7/5 12:34,13.21,47.86
2018/7/5 12:49,13.08,36.69
2018/7/5 13:04,12.82,32.89
2018/7/5 13:19,12.43,32.18
2018/7/5 13:34,12.81,31.82
2018/7/5 13:49,12.81,31.65
2018/7/5 14:04,12.29,31.29
2018/7/5 14:19,12.16,31.12
2018/7/5 14:34,12.29,31.03
2018/7/5 14:49,12.16,30.41
2018/7/5 15:04,12.16,31.03
2018/7/5 15:19,12.03,30.94
2018/7/5 15:34,12.02,30.45
2018/7/5 15:49,11.51,30.19
2018/7/5 16:04,11.89,29.88
2018/7/5 16:19,11.5,29.35
2018/7/5 16:34,11.37,28.82
2018/7/5 16:49,11.37,28.46
2018/7/5 17:04,11.5,28.07
2018/7/5 17:19,11.63,27.44
2018/7/5 17:34,11.5,26.1
2018/7/5 17:49,10.85,25.2
2018/7/5 18:04,11.37,24.52
2018/7/5 18:19,10.85,24.16
2018/7/5 18:34,11.11,23.88
2018/7/5 18:49,11.1,23.56
2018/7/5 19:04,10.97,23.05
2018/7/5 19:19,10.84,22.82
2018/7/5 19:34,11.1,22.54
2018/7/5 19:49,10.84,22.86
2018/7/5 20:04,10.97,22.91
2018/7/5 20:19,10.58,22.54
2018/7/5 20:34,10.97,21.93
2018/7/5 20:49,11.1,21.64
2018/7/5 21:04,10.97,21.55
2018/7/5 21:19,10.97,21.41
2018/7/5 21:34,10.71,21.26
2018/7/5 21:49,11.1,21.12
2018/7/5 22:04,10.84,21.17
2018/7/5 22:19,10.45,20.98
2018/7/5 22:34,10.71,20.88
2018/7/5 22:49,10.32,20.93
2018/7/5 23:04,10.96,20.79
2018/7/5 23:19,10.71,20.74
2018/7/5 23:34,10.83,20.69
2018/7/5 23:49,10.71,20.69
2018/7/6 00:04,10.58,20.69
2018/7/6 00:19,10.58,20.59
2018/7/6 00:34,10.7,20.5
2018/7/6 00:49,10.58,20.5
2018/7/6 01:04,10.83,20.55
2018/7/6 01:19,10.83,20.45
2018/7/6 01:34,10.83,20.3
2018/7/6 01:49,10.32,20.3
2018/7/6 02:04,10.7,20.21
2018/7/6 02:19,10.7,20.16
2018/7/6 02:34,10.32,20.06
2018/7/6 02:49,10.06,20.06
2018/7/6 03:04,10.19,19.92
2018/7/6 03:19,10.44,19.96
2018/7/6 03:34,10.44,19.82
2018/7/6 03:49,10.44,19.82
2018/7/6 04:04,10.44,19.77
2018/7/6 04:19,10.31,19.72
2018/7/6 04:34,10.44,19.57
2018/7/6 04:49,10.57,19.62
2018/7/6 05:04,10.57,19.62
2018/7/6 05:19,10.06,19.57
2018/7/6 05:34,10.31,19.53
2018/7/6 05:49,9.93,19.67
2018/7/6 06:04,10.05,19.77
2018/7/6 06:19,10.44,19.96
2018/7/6 06:34,9.93,20.21
2018/7/6 06:49,10.18,20.45
2018/7/6 07:04,9.93,20.79
2018/7/6 07:19,9.93,21.03
2018/7/6 07:34,10.05,21.36
2018/7/6 07:49,10.05,21.64
2018/7/6 08:04,10.05,21.93
2018/7/6 08:19,10.05,22.26
2018/7/6 08:34,9.8,22.68
2018/7/6 08:49,10.18,23.37
2018/7/6 09:04,10.05,24.11
2018/7/6 09:19,10.05,24.93
2018/7/6 09:34,9.54,26.51
2018/7/6 09:49,9.41,29.13
2018/7/6 10:04,9.54,35.45
2018/7/6 10:19,9.66,43.03
2018/7/6 10:34,9.27,46.14
2018/7/6 10:49,46.37,41.76
2018/7/6 11:04,38.05,45.82
2018/7/6 11:19,34.81,48.32
2018/7/6 11:34,32.14,48.26
2018/7/6 11:49,29.97,45.76
2018/7/6 12:04,28.98,41.41
2018/7/6 12:19,27.42,46.58
2018/7/6 12:34,26.45,46.47
2018/7/6 12:49,25.71,36.55
2018/7/6 13:04,25.32,32.89
2018/7/6 13:19,24.35,31.51
2018/7/6 13:34,24.33,30.14
2018/7/6 13:49,23.83,30.59
2018/7/6 14:04,23.22,30.72
2018/7/6 14:19,23.09,31.07
2018/7/6 14:34,22.84,31.34
2018/7/6 14:49,22.59,30.81
2018/7/6 15:04,22.1,30.1
2018/7/6 15:19,22.22,30.01
2018/7/6 15:34,21.85,30.59
2018/7/6 15:49,21.23,29.13
2018/7/6 16:04,21.35,28.33
2018/7/6 16:19,21.34,29.17
2018/7/6 16:34,20.97,29.22
2018/7/6 16:49,20.97,26.95
